,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ABCC3,0.07528024,0.34097534,0.07746572,-4e-45,0.34974515,-1.1e-44,0.07738325,0.08055183,0.33564347,0.07594041,0.34084427,-1.1e-44,-1.3e-44,0.34568483,1.8278875e-07,0.34197477
ABCC6,0.004903674,0.41585648,0.0028201789,-4e-45,0.4266234,-1.3e-44,0.004108101,0.0061618537,0.4092721,0.0050061718,0.41590542,-1.3e-44,-1.4e-44,0.42164055,2.1680549e-07,0.41715983
ABCD1,0.07034232,0.35553825,0.07213391,-4e-45,0.3647287,-1.1e-44,0.072151765,0.075373344,0.34993356,0.071001396,0.3554509,-1.3e-44,-1.3e-44,0.3604707,1.9219053e-07,0.35654503
ABCD2,0.16257784,0.21940672,0.17034847,-4e-45,0.22483446,-8e-45,0.1685527,0.17270225,0.21619837,0.16381308,0.21895581,-8e-45,-8e-45,0.22232765,1.2053212e-07,0.22007184
ABCD4,0.21715169,0.24554944,0.22738005,-4e-45,0.25196597,-1e-44,0.22455992,0.23075879,0.24163902,0.21916303,0.24524045,-1.3e-44,-1.1e-44,0.24897218,1.5770176e-07,0.24585271
ABCF2,0.23820657,0.27350327,0.24920228,-6e-45,0.28083938,-1.1e-44,0.2459951,0.25323585,0.26896673,0.24059024,0.27330837,-1.4e-44,-1.3e-44,0.27740255,1.8653733e-07,0.27364013
ABCF3,0.23806718,0.2677184,0.24911448,-6e-45,0.27487972,-1.1e-44,0.24590728,0.25306243,0.2632973,0.24042559,0.26750404,-1.4e-44,-1.3e-44,0.27152577,1.8201214e-07,0.26786476
ABCG1,-0.00024837954,0.35661,-0.00027805194,-3e-45,0.3654827,-1e-44,-0.0002597855,-0.00025675131,0.35130313,-0.00025341718,0.35643172,-1e-44,-1.1e-44,0.36140788,1.6128865e-07,0.35817823
ABHD1,0.012794644,0.33990356,0.011873513,-4e-45,0.34841132,-1e-44,0.012976907,0.014205851,0.33480242,0.012684047,0.33970696,-1e-44,-1.1e-44,0.3444965,1.6095322e-07,0.34127405
ABHD11,0.06831299,0.3700852,0.0698561,-4e-45,0.3797065,-1.3e-44,0.069919124,0.07328275,0.3641982,0.069006525,0.3700444,-1.3e-44,-1.4e-44,0.37524503,2.027283e-07,0.3710822
ABHD12,0.25448465,0.28204617,0.26620597,-6e-45,0.2896995,-1.3e-44,0.26269352,0.2705561,0.27728528,0.25710297,0.28189585,-1.5e-44,-1.4e-44,0.2861067,1.9872189e-07,0.28207394
ABHD14A,0.2579915,0.28878292,0.26981953,-6e-45,0.29665208,-1.3e-44,0.2662436,0.27430892,0.2838764,0.26068032,0.2886585,-1.5e-44,-1.4e-44,0.2929558,2.0513203e-07,0.28877988
ABHD14B,-7.62026e-05,0.36414573,-9.804845e-05,-4e-45,0.37330872,-1e-44,-8.302539e-05,-7.3625146e-05,0.358631,-7.88255e-05,0.3640098,-1e-44,-1.3e-44,0.3690904,1.7287128e-07,0.36560073
ABHD15,0.0120546,0.35981506,0.010895155,-4e-45,0.36892003,-1.1e-44,0.012021743,0.013507612,0.35432065,0.0120161325,0.35968423,-1.1e-44,-1.3e-44,0.3647225,1.7576576e-07,0.3611601
ABHD17A,0.17382398,0.1574238,0.18278308,-4e-45,0.16102555,-6e-45,0.18074551,0.18436985,0.15540974,0.17494427,0.15677728,-6e-45,-7e-45,0.15938032,7.609383e-08,0.1581153
ABHD17B,0.087659255,0.27053216,0.09117486,-4e-45,0.2772252,-8e-45,0.09082492,0.09338543,0.266559,0.08818412,0.2701782,-8e-45,-1e-44,0.27414468,1.3274357e-07,0.27156374
ABHD17C,0.010799214,0.3373884,0.009804197,-4e-45,0.34581268,-1e-44,0.010944389,0.012076184,0.33234367,0.010653868,0.33718103,-1e-44,-1.1e-44,0.3419379,1.5962912e-07,0.33877447
ABHD2,0.18850547,0.20081149,0.1977578,-4e-45,0.2057743,-8e-45,0.1954612,0.20014808,0.19788581,0.18998292,0.20032415,-8e-45,-8e-45,0.20347896,1.14987444e-07,0.2013511
ABHD3,0.22799352,0.24128962,0.23880586,-4e-45,0.24761766,-1e-44,0.23577788,0.2422509,0.23742753,0.23012051,0.24097715,-1.3e-44,-1.1e-44,0.2446621,1.5811915e-07,0.24153516
ABHD4,0.006889224,0.40509915,0.005013734,-4e-45,0.41554934,-1.3e-44,0.006259091,0.008222558,0.39872196,0.0069721416,0.4051143,-1.3e-44,-1.4e-44,0.410716,2.0915299e-07,0.4064069
ABHD5,0.30506864,0.072171286,0.32143778,-4e-45,0.073687464,-6e-45,0.3168694,0.32333848,0.07141207,0.3074511,0.071370676,-7e-45,-6e-45,0.072985865,5.4585737e-08,0.072214425
ABHD6,0.13236625,0.3390078,0.13741925,-4e-45,0.34792826,-1.3e-44,0.13625182,0.14115205,0.3335238,0.13371877,0.33892667,-1.4e-44,-1.4e-44,0.34377694,2.0045636e-07,0.33967248
ABI2,0.21442667,0.1895934,0.22508553,-4e-45,0.19431357,-8e-45,0.22229159,0.22761957,0.1868039,0.21617633,0.18909432,-1e-44,-8e-45,0.1921243,1.1528592e-07,0.18999653
ABI3,0.24855828,0.28396696,0.2599645,-6e-45,0.29165637,-1.3e-44,0.25656548,0.2642724,0.27918774,0.2511117,0.28381717,-1.5e-44,-1.4e-44,0.2880485,1.981751e-07,0.28402692
